,Labels,Message
0,ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,ham,ok lar joking wif u oni
2,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
3,ham,u dun say early hor u c already say
4,ham,nah think go usf life around though
5,spam,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
6,ham,even brother like speak treat like aid patent
7,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
8,spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hour
9,spam,mobile month u r entitled update latest colour mobile camera free call mobile update co free
10,ham,gon na home soon want talk stuff anymore tonight k cried enough today
11,spam,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
12,spam,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,ham,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
14,ham,date sunday
15,spam,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,ham,oh k watching
17,ham,eh u remember spell name yes v naughty make v wet
18,ham,fine way u feel way gota b
19,spam,england v macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox w wq
20,ham,seriously spell name
21,ham,going try month ha ha joking
22,ham,pay first lar da stock comin
23,ham,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,ham,ffffffffff alright way meet sooner
25,ham,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
26,ham,lol always convincing
27,ham,catch bus frying egg make tea eating mom left dinner feel love
28,ham,back amp packing car let know room
29,ham,ahhh work vaguely remember feel like lol
30,ham,wait still clear sure sarcastic x want live u
31,ham,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheer
32,ham,k tell anything
33,ham,fear fainting housework quick cuppa
34,spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
35,ham,yup ok go home look timing msg xuhui going learn nd may lesson
36,ham,oops let know roommate done
37,ham,see letter b car
38,ham,anything lor u decide
39,ham,hello saturday go texting see decided anything tomo trying invite anything
40,ham,pls go ahead watt wanted sure great weekend abiola
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,spam,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
43,ham,seeing
44,ham,great hope like man well endowed lt gt inch
45,ham,call message missed call
46,ham,get hep b immunisation nigeria
47,ham,fair enough anything going
48,ham,yeah hopefully tyler could maybe ask around bit
49,ham,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
50,ham,thinked first time saw class
51,ham,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
52,ham,k fyi x ride early tomorrow morning crashing place tonight
53,ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
54,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,ham,know mallika sherawat yesterday find lt url gt
56,spam,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
57,ham,sorry call later meeting
58,ham,tell reached
59,ham,yes gauti sehwag odi series
60,ham,gon na pick burger way home even move pain killing
61,ham,ha ha ha good joke girl situation seeker
62,ham,part checking iq
63,ham,sorry roommate took forever ok come
64,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,spam,valued customer pleased advise following recent review mob awarded bonus prize call
66,ham,today song dedicated day song u dedicate send ur valuable frnds first rply
67,spam,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt l aj
68,spam,hear new divorce barbie come ken stuff
69,ham,plane give month end
70,ham,wah lucky man save money hee
71,ham,finished class
72,ham,hi babe im home wan na something xx
73,ham,k k performed
74,ham,u call
75,ham,waiting machan call free
76,ham,thats cool gentleman treat dignity respect
77,ham,like people much shy pa
78,ham,operate lt gt
79,ham,still looking job much ta earn
80,ham,sorry call later
81,ham,k call ah
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup next stop
85,ham,call later network urgnt sm
86,ham,real u getting yo need ticket one jacket done already used multis
87,ham,yes started send request make pain came back back bed double coin factory got ta cash nitros
88,ham,really still tonight babe
89,ham,ela kano il download come wen ur free
90,ham,yeah stand close tho catch something
91,ham,sorry pain ok meet another night spent late afternoon casualty mean done stuff moro includes time sheet sorry
92,ham,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
93,spam,please call customer service representative pm guaranteed cash prize
